date,close,high,low,open,volume,AD,OBV,ADOSC,MULT,SUM,ASIT,VAR
1991/6/13,125.34,125.34,123.65,125.33,20868,104450.60641713413,70347.0,9352.688899607689,15498.291,3389.680000000001,21.964846732789283,2.9671040000048383
1991/6/14,124.53,126.34,124.47,124.47,6633,98243.25347595768,63714.0,9144.509666004422,15725.5398,3401.800000000002,40.895985949099796,1.66465600000447
1991/6/17,125.77,125.77,123.54,125.63,6933,105176.25347595768,70647.0,10433.980918984511,15537.6258,3415.960000000002,61.62479773531695,1.0119360000062445
1991/6/18,127.03,127.03,126.67,127.03,2030,107206.25347595768,72677.0,10658.85725711414,16090.8901,3432.170000000002,82.73436654808614,1.0417440000055649
1991/6/19,128.29,128.29,127.03,128.12,1481,108687.25347595768,74158.0,10253.09237206589,16296.6787,3450.430000000001,104.23787663368513,1.7540160000116884
1991/6/20,129.57,129.57,129.21,129.55,2299,110986.25347595768,76457.0,9886.498339812882,16741.739700000002,3470.710000000002,125.28407762729289,3.1752960000103485
1991/6/21,130.86,130.86,128.81,130.72,13613,124599.25347595768,90070.0,13169.164568453665,16856.0766,3493.040000000002,147.2920687704417,3.236064000011538
1991/6/24,132.17,132.17,131.8,132.1,1960,126559.25347595768,92030.0,13938.513064856379,17420.006,3517.3700000000013,165.6706028001981,3.3026240000108373
1991/6/25,133.49,133.49,132.17,133.48,1624,128183.25347595768,93654.0,13502.836262034194,17643.3733,3543.670000000002,181.97450332521888,3.38014400000975
1991/6/26,134.83,134.83,133.49,134.83,3409,131592.25347595767,97063.0,13181.756091603835,17998.456700000002,3571.930000000001,196.6133059022649,3.458624000006239
1991/6/27,136.19,136.19,134.83,136.04,4497,136089.25347595767,101560.0,13282.927286281978,18362.4977,3602.3500000000013,211.75903004493412,3.548656000006304
1991/6/28,137.56,137.56,136.19,137.41,4935,141024.25347595767,106495.0,13687.003930806472,18734.2964,3633.160000000001,227.16056807226502,3.634415999997145
1991/7/1,136.85,138.62,136.56,136.64,22940,124543.08842741381,83555.0,7364.027867138313,18929.9472,3662.1900000000014,237.59622813219082,2.125583999993978
1991/7/2,135.96,135.96,135.69,135.91,2838,127381.08842741381,80717.0,5010.898762261495,18448.4124,3689.340000000001,245.11843195399925,0.8352559999948426
1991/7/3,135.27,135.96,134.98,135.28,2715,126272.92516210776,78002.0,3240.121383827107,18351.8808,3716.360000000001,248.37170550039528,0.6113839999925403
1991/7/4,136.63,136.63,134.19,136.63,13394,139666.92516210774,91396.0,6482.883239574236,18334.3797,3743.910000000001,250.12705646799083,0.6113839999961783
1991/7/5,135.96,137.68,135.9,136.01,14540,126107.14988120891,76856.0,2905.6406603143987,18710.712000000003,3769.790000000002,248.00996474151677,0.3131439999961003
1991/7/8,135.28,135.28,134.93,135.26,5874,131981.1498812089,70982.0,3047.0740905886046,18253.330400000006,3794.4100000000017,245.80162761400499,0.2578800000046613
1991/7/9,134.64,136.57,134.31,136.56,8442,126004.5127130672,62540.0,926.2692048749304,18342.7167,3817.3700000000017,240.30955751384377,0.4627440000040224
1991/7/10,133.99,135.6,133.72,134.4,6023,121711.52335136512,56517.0,-1391.4902457199496,18132.432,3838.610000000001,231.111208550062,0.8713199999911012
1991/7/11,133.38,133.99,133.13,133.22,5073,119587.94195601625,51444.0,-2888.850442599796,17838.0887,3858.1700000000014,216.28141568130482,0.8323199999940698
1991/7/12,132.8,133.38,132.42,132.8,3144,118932.94195601637,48300.0,-3447.1932101778802,17662.1796,3876.1400000000026,198.651012578656,0.7741760000062641
1991/7/15,133.14,134.1,131.87,133.9,11938,120592.48455691313,60238.0,-2834.188677521976,17683.767,3893.310000000002,181.66173531939026,0.4266400000014983
1991/7/16,134.47,134.47,133.14,134.39,2796,123388.48455691313,63034.0,-1436.1242162061826,17903.335799999993,3910.6600000000026,165.3621381966002,0.35986399999819696
1991/7/17,135.81,135.81,135.39,135.81,660,124048.48455691313,63694.0,-523.63200783098,18387.3159,3928.3000000000025,150.68551165583332,1.2058000000033644
1991/7/18,137.17,137.17,135.81,137.17,847,124895.48455691313,64541.0,166.76316903442785,18629.0577,3946.1200000000026,136.22040549057022,2.6854160000075358
1991/7/19,136.7,138.54,136.66,137.66,10823,114533.0377484024,53718.0,-2863.104894868084,18932.8764,3962.3500000000026,121.07457345152292,2.1893359999994573
1991/7/22,138.07,138.07,136.7,138.07,2764,117297.0377484024,56482.0,-2962.859566931089,18874.169,3978.7500000000023,108.6361049185604,1.5070239999913608
1991/7/23,139.39,139.39,138.07,139.35,7241,124538.0377484024,63723.0,-430.36288123586564,19245.5773,3995.2500000000023,98.17137069854263,1.4952159999957075
1991/7/24,140.68,140.74,138.69,140.66,5988,130175.52067523164,69711.0,2438.5269561065647,19519.230600000006,4011.820000000001,91.39288988586495,2.1380559999997786
1991/7/25,140.19,141.01,139.99,140.2,8390,125075.71675366287,61321.0,1767.8145548741738,19739.9899,4026.6700000000014,85.37533458499426,2.109063999996579
1991/7/26,140.66,141.46,139.27,140.11,9279,127575.53867147099,70600.0,2128.119677774943,19701.134200000004,4042.800000000002,80.90586634953888,0.9654160000027332
1991/7/29,141.52,141.72,140.81,141.22,4771,130249.39581432824,75371.0,2932.824530073034,19955.5932,4058.550000000002,76.7248711418421,0.4851760000055947
1991/7/30,142.39,142.45,141.39,142.39,5601,135216.32034263012,80972.0,4575.7866350116665,20141.0055,4073.910000000001,73.18551259548724,0.6075760000057926
1991/7/31,143.8,143.8,142.39,143.72,4051,139267.32034263012,85023.0,6120.881438394572,20475.682,4089.420000000002,69.14438759291528,1.6558960000147636
1991/8/1,145.24,145.24,143.8,145.12,4731,143998.32034263012,89754.0,7701.840090833546,20885.512,4105.090000000002,64.6820063822259,2.6618560000169964
1991/8/2,146.68,146.68,145.44,146.49,11744,155742.32034263012,101498.0,11385.155894937343,21333.1392,4120.910000000002,62.272623498448276,3.49502400001802
1991/8/5,148.15,148.15,146.68,148.06,5126,160868.32034263012,106624.0,13487.952733440063,21730.642000000003,4136.890000000001,59.05194762236218,4.147416000017984
1991/8/6,149.62,149.62,148.15,149.62,2001,162869.32034263012,108625.0,13758.692100696617,22166.202999999998,4153.020000000001,58.397437493066704,4.234176000019943
1991/8/7,151.12,151.12,149.62,150.93,1107,163976.32034263012,109732.0,12970.886196329173,22610.5744,4169.310000000001,59.4859390343423,4.322016000020085
1991/8/8,152.61,152.61,151.12,152.57,1951,165927.32034263012,111683.0,12090.2032176035,23062.4232,4185.730000000001,64.82702440341704,4.398664000022109
1991/8/9,154.1,154.1,152.61,153.9,3715,169642.32034263012,115398.0,11812.859888342646,23517.201,4202.270000000001,69.83362714349545,4.4342800000194975
1991/8/12,155.54,155.54,154.1,155.34,3919,173561.32034263012,119317.0,11872.459445613873,23968.714,4220.960000000002,77.21859768099888,4.392896000023029
1991/8/13,157.07,157.07,155.54,156.87,20039,193600.3203426301,139356.0,17193.57204216905,24430.6678,4242.0700000000015,86.84690023769905,4.398856000017986
1991/8/14,158.63,158.63,158.11,158.3,5480,199080.3203426301,144836.0,19550.97519147169,25080.9893,4265.430000000001,100.3559632332172,4.50700000001234
1991/8/15,160.21,160.21,158.63,159.92,1537,200617.3203426301,146373.0,19227.051462416275,25414.1123,4289.010000000001,118.47217238352312,4.689400000013848
1991/8/16,161.6,161.6,160.21,161.56,984,201601.3203426301,147357.0,17659.71434940124,25889.936,4314.6500000000015,139.02103077260827,4.659400000015012
1991/8/19,163.21,163.21,161.6,163.21,985,202586.3203426301,148342.0,15726.511498676817,26374.736,4342.580000000002,161.43614907275872,4.653264000011403
1991/8/20,164.84,164.84,163.21,164.74,573,203159.3203426301,148915.0,13688.291105318933,26903.5364,4372.780000000002,183.70182837108945,4.758936000023823
1991/8/21,166.49,166.49,164.84,166.49,3411,206570.3203426301,152326.0,12695.401753007172,27444.2116,4405.280000000002,204.87779719814162,4.997880000024452
1991/8/22,168.16,168.16,166.49,167.81,1296,207866.3203426301,153622.0,11547.455949515366,27996.9584,4440.060000000001,224.05362297686142,5.379480000021432
1991/8/23,169.81,169.81,168.16,169.81,605,208471.3203426301,154227.0,10220.573034494562,28555.2496,4477.0700000000015,243.59444146929852,5.4582960000298035
1991/8/26,171.51,171.51,169.81,171.51,643,209114.3203426301,154870.0,8953.205202486599,29124.1131,4515.440000000001,263.5984978874527,5.5512560000315725
1991/8/27,173.19,173.19,171.51,173.06,796,209910.3203426301,155666.0,7874.0815255299685,29703.8169,4554.160000000002,282.1039531864822,5.611376000033489
1991/8/28,174.92,174.92,173.19,174.82,804,210714.3203426301,156470.0,6972.614428090456,30294.3948,4593.27,297.5804668950177,5.712536000039107
1991/8/29,176.66,176.66,174.92,176.53,2608,213322.3203426301,159078.0,6799.776576584292,30901.3672,4632.76,308.70598808659787,5.855336000036915
1991/8/30,178.43,178.43,176.66,178.2,6759,220081.3203426301,165837.0,8261.49958491503,31521.4438,4674.490000000002,319.0814240000565,5.993256000041582
1991/9/2,180.22,180.22,178.43,180.08,1408,221489.3203426301,167245.0,8556.431762421678,32156.6546,4716.640000000001,328.04003943592784,6.174424000040744
1991/9/3,181.97,181.97,180.22,181.71,1475,222964.3203426301,168720.0,8368.546583908814,32794.6334,4759.220000000001,336.15641672604784,6.237640000039392
1991/9/4,183.69,183.69,181.97,183.66,650,223614.3203426301,169370.0,7737.725685070909,33426.0693,4802.230000000001,343.87814555259126,6.195544000041991
1991/9/5,185.51,185.51,183.69,185.48,1514,225128.3203426301,170884.0,7257.960255085345,34076.3319,4847.550000000001,351.42031881933815,6.2167840000329315
1991/9/6,187.36,187.36,185.51,187.09,2765,227893.32034263012,173649.0,7281.650737810763,34757.1536,4894.250000000001,359.42898927031814,6.352520000036748
1991/9/9,189.24,189.24,187.36,189.1,3552,231445.32034263012,177201.0,7759.555868215655,35456.00640000001,4941.97,365.7426889617365,6.633944000030169
1991/9/10,188.33,190.98,188.19,190.98,33434,201366.70385517532,143767.0,-2320.820539737586,35940.5262,4987.91,368.1633002353625,3.9881840000380184
1991/9/11,187.22,187.29,186.86,187.29,21392,215793.8666458733,122375.0,-1643.1663150656966,34997.0094,5031.33,365.49662981069366,1.5538960000340012
1991/9/12,186.22,187.4,186.07,186.22,19699,200538.25010452003,102676.0,-6070.625184942677,34869.518,5072.31,359.53796514640777,1.060304000027827
1991/9/13,187.79,188.04,185.01,188.0,37434,231795.0223817477,140110.0,2615.353291493055,34789.2804,5113.42,352.5741574083107,1.0358800000394697
1991/9/16,189.66,189.66,187.79,189.55,9933,241728.0223817477,150043.0,9091.448732626508,35616.2514,5154.93,344.76149961510833,1.312744000038947
1991/9/17,188.65,191.18,188.28,191.16,28829,220255.38789898923,121214.0,4082.0632837918815,35995.3704,5193.96,333.5104057993967,1.391336000051524
1991/9/18,187.63,188.59,187.18,187.26,15822,214532.5368351592,105392.0,-159.23458229470998,35300.2762,5230.47,316.5399752224952,1.3054000000556698
1991/9/19,186.88,189.21,186.49,187.65,23439,197815.01477633548,81953.0,-7199.046675110876,35285.7729,5264.740000000002,296.9546425645326,0.9078160000499338
1991/9/20,185.92,187.21,185.66,185.77,12075,189790.98251827073,69878.0,-11977.61218836438,34757.4086,5296.56,272.58763668440923,1.715656000043964
1991/9/23,185.0,185.92,184.71,185.0,4034,187690.63541083265,65844.0,-13511.898324483423,34341.2832,5326.02,245.3348909574316,1.6261840000443044
1991/9/24,184.08,185.04,183.69,183.96,1426,187088.54652194388,64418.0,-13102.780178952815,33989.997599999995,5353.030000000002,218.36477149722202,1.6152160000419826
1991/9/25,183.19,184.08,182.8,182.8,1389,186545.9683969438,63029.0,-11916.890324740029,33649.824000000015,5377.59,193.74701287999542,1.7004640000523068
1991/9/26,182.33,183.19,181.93,182.21,6541,184157.98426995976,56488.0,-11108.213031626074,33327.7567,5399.71,169.97702330004338,1.6167440000353963
1991/9/27,181.82,183.89,181.19,183.12,33728,166169.71760329304,22760.0,-15491.09234823464,33319.0291,5419.9299999999985,142.58643224416429,1.3281040000365465
